client_slug,primary_jtbd,top_protocols_graded,hard_avoids,commercial,evidence_posture
frequent_international_travelers,Adapt circadian; arrive meeting-ready,Jet-lag light±melatonin (B); AM light (A); wake (B); caffeine (B); cyclic sigh (B); NSDR rest (C); PMR (B); if-then (A),Mega-dose melatonin; wrong-timed light; NSDR=sleep; DIY SRT while fatigued,High,CDC YB 2026; Bin 2019; AASM circadian
private_jet_uhnw_travelers,Invisible recovery; staff-run consistency,Same chronobiology + PPR (B); process imagery (B); staff if-then (A); suite NSDR (C),Public theater; staff inventing CBT-I; cold=trauma therapy,Highest ACV,Ops differentiation; biology=standard jet lag
digital_nomads,Stabilize zeitgebers across cities,Fixed wake (B); AM light (A); caffeine (B); Pomodoro (C); ART (C); BA (A); social (B),5am universal; grind-without-sleep; fasting jet-lag theater,Volume/content,Social jet lag Wittmann/Roenneberg
irregular_schedule_shift_adjacent,Maximize sleep opportunity; safe alertness,Shift-timed light/dark (A/B context); caffeine front-load (B); prophylactic nap (B); stimulus control (A); NSDR rest (C),DIY SRT in safety roles; random melatonin; 5am club,B2B niche,AASM SWD parameters; chronotype×shift
demanding_social_calendar_hosts,Show up regulated; limit late-night damage,PPR (B); sigh (B); PMR (B); evening dim (B); AM light next day (A); alcohol timing rails; NSDR (C),NSDR replaces gala sleep; table grounding theater,High UHNW,Alcohol-sleep; social jet lag; sport PPR transfer
executive_parents,Regulate after fragmentation; stay kind,Sigh (B); affect label (B); BA (A); AM light (A); if-then (A); NSDR opportunistic (C); partner social (B),Perfect routine shame; DIY SRT with infants; cold=parenting therapy,High empathy sell,Fragmentation≠insomnia; BA/reappraisal
high_profile_families,Household circadian culture + discretion,House lighting; per-person jet-lag cards; private sigh; family if-then; aerobic walks (A),One protocol all ages; pediatric melatonin DIY; photo wellness,High if access,Adolescent sleep need; security constraints
executive_power_couples,Sync recovery; cut fatigue-conflict,Social check-in (B); affect label (B); distancing (B); reunion jet-lag plan (B); values (C),Therapy replacement; forced identical wake vs chronotype,Couple packages,Emotion regulation + circadian
extreme_academic_students,Sustain cognition; exam composure,Pomodoro (C); light (A); caffeine (B); worry slot (B); PPR (B); process imagery (B); BA (A),All-nighter glory; NSDR=sleep; stimulant stacking,Campus/parent-paid,Sleep-cognition; sport psych transfer
competitive_exam_candidates,Peak-day composure; months endurance,Exam PPR (B); process imagery (B); wake pre-shift (B); sigh if-then (B); sleep final weeks priority,Mega-dose melatonin night-before; LOA ranks; hyperventilation genius,Seasonal India high,Memory consolidation needs sleep
young_professionals,Install durable rails early,Wake (B); light (A); caffeine (B); aerobic (A); WOOP (A); sigh (B); wind-down (C),Hustle-porn; 5am universal; manifestation career,Volume B2B,Social jet lag; foundations
burnout_seekers,Rebuild energy & agency,BA (A); light (A); aerobic (A); wake (B); sigh (B); values (C); NSDR rest (C); social (B),Early optimizer framing; gratitude cures depression; DIY SRT,High intent; careful claims,BA/exercise; not org-fix replacement
high_cognitive_load_knowledge_workers,Restore directed attention,ART (C); Pomodoro (C); task-switch buffer (C); sigh (B); shutdown+dim (B); NSDR (C); light (A),Hyperventilation genius; Pomodoro-as-proven-cure,B2B knowledge orgs,ART mixed; sleep for cognition
sleep_recovery_seekers,Improve sleep continuity/quality,Stimulus control (A); wake (B); light (A); dim (B); caffeine (B); PMR (B); worry (B); NSDR daytime rest (C),Hygiene-alone cure; DIY SRT; melatonin sleep vitamin; NSDR=sleep,Core wedge; CBT-I gate,AASM 2021; Furukawa 2024
performance_optimization_seekers,Raise reliable performance floor,Light (A); aerobic (A); PPR (B); process imagery (B); sigh (B); resonance (B); WOOP/if-then (A); foundations before exotic,E-tier biohacks; NSDR=sleep; outcome-only viz; DIY SRT biohack,Premium; gate claims,Sport psych + foundations > exotic
