client_slug,client_title,cluster,moment,protocol_posture,duty_critical,safety_flag,uhnw_travel_relevant,core_protocol_grades
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,T−60 to T−10 pre-compete,PPR + tactical/sigh breath sized to arousal + external process cue (not win fantasy),yes,standard,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,Between plays / changeovers,Centering or 1–2 physiological sighs + next-play if–then,yes,standard,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,Post-game night,Exhale-biased breath or PMR + wind-down + evening dim; caffeine cutoff,yes,standard,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,Travel land day,Jet-lag light plan + optional early nap + coherent/sigh; protect first local night,varies,standard,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,Injury rehab mental,PETTLEP with medical clearance + if–then rehab cues — not a substitute for physio,varies,medical_clearance,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
professional_athletes,Professional Athletes,C — Sport / Performance / Duty,Media / presser,Affect label + reappraisal + brief PPR; postpone rumination,varies,standard,yes,Pre-Performance Routine[B]; PETTLEP / Process Imagery[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Centering (Ravizza-Style)[C]
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Selection / trial day,PPR + reappraisal + values cue; process imagery of first action only,yes,standard,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Taper week,Worry-postpone + WOOP + light process visualization — reduce novelty protocols,yes,standard,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Call-room / marshalling,Centering + short tactical/sigh breath + external cue (lane/board),yes,standard,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Village insomnia night,Stimulus-control spirit + wind-down + dim; NSDR as rest; escalate CBT-I if chronic,varies,standard,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
