slug,title,protocol_count,evidence_A,evidence_B,evidence_C,evidence_D,evidence_E,profession_specific_count,high_value_count,white_space_count,distinctive_one_liner,q_coverage_count
management_consultants,Management Consultants,21,7,9,5,0,0,3,14,0,Consulting literature emphasizes **organizational support + workload/WLB** over apps; detachment rituals and travel sleep hygiene are highest-ROI individual layers. White-space: co,20
lawyers,Lawyers / Attorneys,22,7,8,7,0,0,4,15,1,Lawyer-specific mindfulness curricula (Anxious Lawyer / Mindful Pause) are a rare **profession-specific** evidence pocket. Detachment is hard when hyper-aroused — pair boundary rit,20
physicians_surgeons,Physicians & Surgeons,23,7,10,6,0,0,5,16,0,Strongest **profession-specific performance** evidence among clusters (surgical MSC; pre-sim breathing). Burnout: individual effects small–moderate; **coaching** signal for physici,20
dentists,Dentists,22,7,9,6,0,0,4,15,1,Dentists: **MSD/ergonomics** is the distinctive high-evidence profession layer. Self-compassion for burnout is promising white-space. Performance anxiety shares generic breath tool,20
psychologists_therapists,Psychologists / Therapists,21,7,8,6,0,0,3,14,1,Therapists need **between-session residue management + supervision boundaries** more than more meditation apps. Evidence for self-care is promising but mixed; white-space: brief be,20
software_engineers,Software Engineers,21,7,9,5,0,0,3,14,0,Highest-ROI profession layer is **boundary/detachment + insomnia rails** (iCBT-I–informed recovery training evidence). White-space: engineer-only RCTs still limited; borrow blurred,20
academics_researchers,Academics / Researchers,21,7,9,5,0,0,3,14,0,Academics: **evaluative threat + writing isolation** dominate. Structured mindfulness programs have better evidence than random apps; pair with BA for writing. White-space: faculty,20
sales_professionals,Sales Professionals,21,7,8,6,0,0,3,14,0,Sales: **rejection recovery + irrational target beliefs** are the distinctive layer (REBT trial). Pair with BA to keep pipeline behavior moving. White-space: larger preregistered s,20
real_estate_professionals,Real Estate Professionals,21,7,8,6,0,0,3,14,1,Real estate: **always-on availability** is the core lifestyle pathology. Highest-ROI is boundary/coverage systems + detachment; occupation-specific trials are white-space.,20
journalists_media,Journalists / Media,21,7,8,6,0,0,3,14,1,"Journalists: **trauma-informed pathways** beat generic wellness. Distinctive protocol is peer support + specialist referral, not more breathwork alone. White-space: strong journali",20
architects_designers,Architects / Designers,21,7,8,6,0,0,3,14,1,Architects/designers: distinctive stack is **MSD microbreaks + creative attention restoration**; occupation-specific trials are white-space — honest label + borrow adjacent evidenc,20
